Timestamp,Household_ID,Water_Usage_Liters,Flow_Rate_LPM,Pressure_Bar,Leak_Detected,Weather_Condition,Population_Density,Household_Consumption_Liters
01-01-2025 00:00,3012,3.82,6.77,8.45,No,Cloudy,235,43.26720447
01-01-2025 00:05,1086,4.82,9.61,0.52,No,Rainy,91,54.59369779
01-01-2025 00:10,2551,45.92,17.3,9.2,No,Stormy,128,520.1125731
01-01-2025 00:15,4026,1.58,2.58,6.49,No,Rainy,241,17.89585944
01-01-2025 00:20,2290,9.71,3.1,8.5,No,Cloudy,358,109.9802501
01-01-2025 00:25,2066,44.87,11.47,5.39,No,Cloudy,175,508.2197551
01-01-2025 00:30,2829,2.31,0.49,1.43,No,Stormy,263,26.16419956
01-01-2025 00:35,2461,28.89,19.36,2.86,No,Stormy,243,327.2223919
01-01-2025 00:40,3670,25.75,4,3.91,No,Cloudy,235,291.6572029
01-01-2025 00:45,1117,7.07,13.16,9.65,No,Rainy,221,80.07830775
01-01-2025 00:50,2328,38.12,10.24,4.93,No,Cloudy,200,431.7659252
01-01-2025 00:55,4835,21.57,15.96,9.65,No,Rainy,219,244.3124608
01-01-2025 01:00,4283,23.25,2.87,1.73,No,Stormy,494,263.3409696
01-01-2025 01:05,1105,18.89,4.45,9.33,No,Sunny,122,213.9574588
01-01-2025 01:10,1008,41.14,6.3,2.23,No,Stormy,151,465.9719351
01-01-2025 01:15,3014,39.89,6.51,5.67,No,Sunny,97,451.8138184
01-01-2025 01:20,2578,28.28,15.88,6.84,No,Rainy,403,320.313231
01-01-2025 01:25,3230,43.95,2.58,8.07,No,Sunny,94,497.7993813
01-01-2025 01:30,1668,31.93,2.14,2.42,No,Sunny,288,361.6549316
01-01-2025 01:35,3274,26.03,9.07,0.94,No,Cloudy,418,294.828621
01-01-2025 01:40,1568,22.95,3.96,1.98,Yes,Cloudy,135,259.9430216
01-01-2025 01:45,3295,47.98,3.55,4.22,No,Rainy,248,543.4451493
01-01-2025 01:50,3431,34.86,13.11,6.75,No,Cloudy,334,394.841557
01-01-2025 01:55,1446,43.91,19.71,7.85,No,Stormy,348,497.3463215
01-01-2025 02:00,4285,49.8,15.43,8.55,No,Sunny,337,564.0593672
01-01-2025 02:05,4222,45.2,6.69,7.86,No,Sunny,288,511.9574979
01-01-2025 02:10,2341,41.79,2.49,7.55,No,Sunny,52,473.3341557
01-01-2025 02:15,2105,11.59,1.44,5.99,No,Rainy,321,131.2740575
01-01-2025 02:20,2772,43.22,1.72,0.75,No,Sunny,97,489.5310412
01-01-2025 02:25,4706,17.59,1.39,1.5,No,Cloudy,123,199.2330174
01-01-2025 02:30,1551,42.22,11.33,7.31,No,Sunny,467,478.2045478
01-01-2025 02:35,4898,16.05,7.6,0.76,No,Cloudy,90,181.7902177
01-01-2025 02:40,2686,37.57,17.24,1.56,No,Stormy,153,425.5363539
01-01-2025 02:45,2064,40.31,8.61,4.44,No,Sunny,164,456.5709456
01-01-2025 02:50,1042,49.76,15.54,8.19,No,Cloudy,376,563.6063074
01-01-2025 02:55,2876,29.16,3.55,5.85,No,Sunny,122,330.2805451
01-01-2025 03:00,4270,22.2,7.11,6.31,No,Sunny,240,251.4481516
01-01-2025 03:05,2428,4.64,10.56,2.42,No,Cloudy,189,52.55492899
01-01-2025 03:10,3996,28.38,4.48,6.7,No,Cloudy,257,321.4458803
01-01-2025 03:15,3515,29.87,0.77,3.2,No,Cloudy,294,338.3223554
01-01-2025 03:20,2965,40.55,15.5,3.36,No,Sunny,453,459.289304
01-01-2025 03:25,2363,2.94,19.64,1.39,No,Sunny,253,33.29989035
01-01-2025 03:30,3100,49.09,14.42,3.98,No,Rainy,388,556.0175569
01-01-2025 03:35,2070,22.96,18.86,4.87,No,Rainy,491,260.0562866
01-01-2025 03:40,4282,7.67,1.61,7.81,No,Stormy,363,86.87420374
01-01-2025 03:45,1374,22.81,7.06,5.15,No,Rainy,215,258.3573126
01-01-2025 03:50,2935,41.83,5.98,8.67,No,Cloudy,201,473.7872154
01-01-2025 03:55,4096,6.8,15.37,5.74,No,Cloudy,407,77.02015455
01-01-2025 04:00,2096,31.74,9.11,7.34,No,Stormy,196,359.5028979
01-01-2025 04:05,4491,21.37,2.95,2.13,No,Rainy,300,242.0471622
01-01-2025 04:10,4938,32.78,3.66,9.5,No,Sunny,85,371.2824509
01-01-2025 04:15,1089,16.33,18.59,7.15,No,Rainy,134,184.9616359
01-01-2025 04:20,3375,5.82,5.29,6.4,No,Cloudy,235,65.9201911
01-01-2025 04:25,4200,4.06,10.67,7.72,No,Sunny,421,45.98556287
01-01-2025 04:30,4967,32.22,6.25,4.46,Yes,Rainy,498,364.9396147
01-01-2025 04:35,1341,35.76,5.37,3.05,No,Stormy,180,405.035401
01-01-2025 04:40,4773,11.92,4.24,4.12,No,Cloudy,247,135.0118003
01-01-2025 04:45,4272,34.33,6.48,5.13,No,Sunny,497,388.8385156
01-01-2025 04:50,2448,0.17,0.59,0.88,No,Rainy,170,1.925503864
01-01-2025 04:55,2482,36.66,7.41,6.18,No,Stormy,228,415.229245
01-01-2025 05:00,4138,2.87,5.89,1.63,No,Cloudy,89,32.50703582
01-01-2025 05:05,2153,48.21,13.52,1.12,No,Cloudy,72,546.0502428
01-01-2025 05:10,3594,46.46,16.71,5.27,No,Stormy,428,526.2288795
01-01-2025 05:15,3369,7.16,5.1,3.95,No,Sunny,408,81.09769215
01-01-2025 05:20,4647,3.02,15.65,7.11,No,Cloudy,162,34.20600982
01-01-2025 05:25,1114,30.95,14.85,4.66,No,Cloudy,254,350.5549682
01-01-2025 05:30,4223,7.74,14.98,1.46,No,Cloudy,278,87.66705827
01-01-2025 05:35,3721,20.15,11.74,8.82,No,Rainy,288,228.2288403
01-01-2025 05:40,2450,35.41,4,7.05,No,Rainy,92,401.0711283
01-01-2025 05:45,2974,3.02,9.9,1.87,Yes,Rainy,123,34.20600982
01-01-2025 05:50,2917,27.13,16.33,5.05,No,Cloudy,113,307.2877637
01-01-2025 05:55,2496,44.13,13.46,1.67,No,Sunny,55,499.8381501
01-01-2025 06:00,2160,7.73,13.71,3.08,No,Cloudy,271,87.55379334
01-01-2025 06:05,4473,21.37,8.43,2.64,No,Sunny,325,242.0471622
01-01-2025 06:10,3258,4.85,1.43,2.03,No,Sunny,214,54.93349259
01-01-2025 06:15,4004,19.6,0.78,7.88,No,Sunny,121,221.999269
01-01-2025 06:20,2739,9.88,18.01,7.74,No,Rainy,240,111.905754
01-01-2025 06:25,2614,25.96,19.36,8.33,No,Stormy,149,294.0357665
01-01-2025 06:30,1766,7.31,16.65,0.68,No,Sunny,98,82.79666615
01-01-2025 06:35,3216,19.76,10.97,6.25,No,Sunny,271,223.8115079
01-01-2025 06:40,4541,1.22,11.48,0.6,No,Stormy,159,13.81832185
01-01-2025 06:45,3503,8.05,17.1,9.13,No,Cloudy,308,91.1782712
01-01-2025 06:50,4335,43.49,6.67,0.81,No,Cloudy,72,492.5891943
01-01-2025 06:55,3164,4.84,5.53,8.23,No,Cloudy,500,54.82022765
01-01-2025 07:00,1779,15.6,5.13,5.84,No,Stormy,101,176.6932957
01-01-2025 07:05,3680,17.57,1.43,2.35,No,Rainy,472,199.0064876
01-01-2025 07:10,4075,25.61,18.08,6.76,No,Stormy,97,290.0714938
01-01-2025 07:15,2101,36.35,4.11,1.93,No,Rainy,62,411.7180321
01-01-2025 07:20,2658,38.42,13.13,7.47,No,Stormy,398,435.1638732
01-01-2025 07:25,4296,30.03,16.57,9.93,No,Cloudy,500,340.1345943
01-01-2025 07:30,1814,1.75,6.32,5.74,No,Cloudy,109,19.8213633
01-01-2025 07:35,3486,26.83,12.2,5.59,No,Stormy,280,303.8898157
01-01-2025 07:40,1074,9.64,18.9,5.82,No,Sunny,455,109.1873956
01-01-2025 07:45,3845,31.35,0.19,4.08,No,Rainy,110,355.0855655
01-01-2025 07:50,2951,41.29,19.64,4.41,No,Rainy,100,467.6709091
01-01-2025 07:55,2108,7.05,6.47,1.99,No,Rainy,284,79.85177788
01-01-2025 08:00,2786,6.33,8.79,8.96,No,Rainy,314,71.6967027
01-01-2025 08:05,4341,32.77,13.45,3.44,No,Sunny,386,371.169186
01-01-2025 08:10,4552,6.41,0.59,4.14,No,Cloudy,142,72.60282216
01-01-2025 08:15,1735,39.15,14.36,2.6,No,Cloudy,385,443.4322134
01-01-2025 08:20,2588,46.2,16.6,2.22,No,Sunny,485,523.2839912
01-01-2025 08:25,3131,40.88,7.87,1.35,No,Cloudy,249,463.0270468
01-01-2025 08:30,1143,17.81,5.91,6.42,No,Cloudy,110,201.724846
01-01-2025 08:35,2019,23.06,13.32,2.72,No,Rainy,307,261.1889359
01-01-2025 08:40,4053,11.11,6.45,3.39,No,Stormy,83,125.8373407
01-01-2025 08:45,1679,16.51,13.36,2.38,No,Cloudy,203,187.0004047
01-01-2025 08:50,4939,33.89,18.81,5.92,No,Sunny,89,383.8548585
01-01-2025 08:55,4884,6.98,5.6,7.21,No,Rainy,388,79.05892335
01-01-2025 09:00,1459,27.19,4.53,3.78,No,Sunny,416,307.9673533
01-01-2025 09:05,1270,38.24,13.53,2.4,No,Rainy,196,433.1251044
01-01-2025 09:10,3065,24.74,8.68,4.54,No,Cloudy,89,280.2174447
01-01-2025 09:15,3193,30.08,5.11,7.91,No,Rainy,355,340.700919
01-01-2025 09:20,2402,6.14,19.55,7.74,No,Stormy,349,69.54466897
01-01-2025 09:25,4088,45.78,4.17,8.41,No,Sunny,363,518.526864
01-01-2025 09:30,1727,3.44,16.99,5.48,No,Stormy,182,38.96313701
01-01-2025 09:35,4535,19.66,5.46,1.8,No,Rainy,204,222.6788586
01-01-2025 09:40,4348,30.33,13.22,7.29,No,Rainy,72,343.5325423
01-01-2025 09:45,3099,11.87,17.84,8.51,No,Sunny,381,134.4454757
